Task,Owner,Owner Detail,Status,Updated,Notes
Latest ASA / Compliance Protection / Request for Coverage drafts,Capitol,Connie,Open,2026-05-16,Pending delivery from Connie. Needed for compliance walkthrough.
Eligibility file format finalization,Capitol,CEHAS IT + Nexus,In Flight,2026-05-16,Decision pending: CSV push vs. system access.
CEHAS + insurer signature contact details,Capitol,Connie,Open,2026-05-16,Awaiting contacts for e-sign flow.
Sample eligibility CSV review,Capitol,Connie / CEHAS IT,Delivered — Awaiting Review,2026-05-16,Sample shared. See artifacts/sample-eligibility-acme-manufacturing.csv.
Sample payroll summary + invoice review,Capitol,Connie,Delivered — Awaiting Review,2026-05-16,Sample invoice + payroll summary in artifacts/.
Compliance walkthrough (Insight TPA checklist vs. Capitol),Insight,Howard ↔ Connie (Capitol),Scheduled,2026-05-16,Howard ↔ Connie call being scheduled.
Amaze Health intro meeting,Nexus,Jason + Amaze + Insight,Scheduled,2026-05-16,Howard requested intro to Dave Silverstein.
Payroll vendor priority list,Nexus,Brenda Manning,In Flight,2026-05-16,Brenda compiling prioritized vendor support list.
Friday 5/22 walkthrough with Scott,Nexus,Jason + Brenda Manning,Scheduled,2026-05-16,Jason walks Scott through hub on 5/22.
Capitol ops team presentation,Capitol,Capitol ops + Nexus,Scheduled,2026-05-16,Mon/Tue 5/25–5/26. Final Capitol decision lands here.
White-labeling / marketing strategy,Nexus,Nexus + Insight,Future Phase,2026-05-16,Phase 2 — post-Capitol greenlight.
